case_id,fold
1-734673821,3
1-734676637,3
1-734678001,4
1-734678351,0
1-734680961,3
1-734681311,4
1-734682252,1
1-734682341,3
1-734688312,2
1-734688751,3
1-734691225,0
1-734693728,1
1-734697082,0
1-734697476,4
1-734701966,0
1-734702136,3
1-734705951,4
1-734706293,0
1-734706379,4
1-734706495,3
1-734710056,0
1-734710118,2
1-734712541,3
1-734712837,2
1-734721812,2
1-734722000,0
1-734722370,4
1-734723881,3
1-734725890,0
1-734732031,0
1-734732196,2
1-734733981,1
1-734734063,4
1-734734357,1
1-734734749,0
1-734734751,3
1-734735344,3
1-734744358,1
1-734750143,1
1-734750582,2
1-734751876,3
1-734753125,0
1-734756057,1
1-734765792,0
1-734766481,2
1-734770187,3
1-734775455,1
1-734775492,4
1-734776701,0
1-734778898,2
1-734790225,1
1-734790231,1
1-734790466,2
1-734792384,0
1-734792611,0
1-734792765,2
1-734795962,1
1-734796269,4
1-734796430,4
1-734796496,2
1-734796699,0
1-734796707,2
1-734796736,2
1-734796835,1
1-734796892,3
1-734799380,1
1-734799720,1
1-734801676,4
1-734802189,2
1-734802399,0
1-734802554,2
1-734805308,4
1-734805695,0
1-734805854,2
1-734805950,4
1-734805965,2
1-734806283,4
1-734806457,2
1-734806484,3
1-734807244,4
1-734807317,0
1-734807750,0
1-734807792,3
1-734811377,1
1-734811981,0
1-734812011,3
1-734812081,2
1-734812111,0
1-734812121,4
1-734812131,4
1-734812231,1
1-734812351,1
1-734812361,0
1-734812391,0
1-734812441,3
1-734812451,3
1-734812471,3
1-734812571,1
1-734812591,2
1-734812621,3
1-734812751,1
1-734812811,0
1-734812831,2
1-734812881,3
1-734812891,4
1-734815385,3
1-734826334,0
1-734836356,3
1-734838388,1
1-734842204,0
1-734842516,0
1-734842588,3
1-734846994,3
1-734847613,3
1-734847634,1
1-734847663,4
1-734847833,3
1-734848931,2
1-734849391,4
1-734849461,2
1-734849621,2
1-734849721,4
1-734849791,0
1-734862971,2
1-734863171,0
1-734863265,3
1-734867951,4
1-734867990,0
1-734868961,4
1-734870053,1
1-734870379,3
1-734873980,3
1-734879331,0
1-734879581,4
1-734883036,4
1-734894086,0
1-734894104,4
1-734894572,3
1-734894748,1
1-734895721,3
1-734902541,1
1-734902909,1
1-734903069,3
1-734903261,4
1-734904368,1
1-734904561,1
1-734908221,1
1-734908327,1
1-734908392,4
1-734910992,0
1-734911386,3
1-734911670,1
1-734911690,3
1-734911719,2
1-734911770,0
1-734915939,0
1-734916461,3
1-734916681,0
1-734916721,4
1-734916886,3
1-734922854,3
1-734922986,3
1-734923398,4
1-734926010,2
1-734930461,0
1-734931154,0
1-734940237,3
1-734941798,1
1-734954390,0
1-734954755,3
1-734955311,3
1-734955675,3
1-734961624,0
1-734964829,4
1-734966754,0
1-734968198,1
1-734968410,3
1-734968511,0
1-734968581,3
1-734968637,3
1-734968773,1
1-734969777,3
1-734969939,1
1-734971186,1
1-734973156,0
1-734973304,4
1-734973777,3
1-734979224,3
1-734979301,1
1-734984362,1
1-734985477,0
1-734987071,2
1-734994398,0
1-734994401,0
1-734995151,3
1-735000101,1
1-735000225,3
1-735006276,0
1-735006290,3
1-735010686,0
1-735010701,2
1-735013174,4
1-735013701,4
1-735013888,1
1-735015156,2
1-735015171,4
1-735015899,3
1-735025653,3
1-735029367,4
1-735029711,1
1-735029972,4
1-735030751,2
1-735030780,3
1-735037637,3
1-735037660,0
1-735037874,4
1-735039301,2
1-735040184,3
1-735045971,4
1-735046533,1
1-735053067,4
1-735058984,1
1-735063324,4
1-735063522,3
1-735064179,3
1-735064620,0
1-735066131,3
1-735066539,1
1-735069481,4
1-735071006,4
1-735071172,0
1-735071603,0
1-735071961,2
1-735072598,1
1-735073011,4
1-735076931,4
1-735077126,1
1-735077411,0
1-735077470,0
1-735077492,2
1-735077804,0
1-735077889,0
1-735077961,4
1-735078041,2
1-735078091,1
1-735078291,2
1-735078433,3
1-735078481,3
1-735078531,2
1-735078551,0
1-735078581,4
1-735078641,1
1-735078711,4
1-735082484,2
1-735083647,3
1-735084802,0
1-735086187,0
1-735086266,2
1-735086920,3
1-735087312,0
1-735087406,2
1-735087438,4
1-735087704,1
1-735088988,2
1-735089153,4
1-735089696,1
1-735093723,0
1-735093880,2
1-735101563,3
1-735101862,4
1-735104477,2
1-735104663,0
1-735104703,4
1-735104855,0
1-735112291,4
1-735117242,0
1-735117256,1
1-735117603,1
1-735119457,2
1-735123821,3
1-735126180,0
1-735126898,0
1-735128441,3
1-735129927,2
1-735133142,1
1-735133407,4
1-735133580,0
1-735136971,0
1-735137073,3
1-735145409,3
1-735145461,0
1-735145804,3
1-735147842,1
1-735162254,0
1-735162430,2
1-735164265,0
1-735167951,1
1-735167961,3
1-735168001,3
1-735168161,1
1-735168231,0
1-735168341,0
1-735168351,0
1-735168371,1
1-735168571,1
1-735168591,1
1-735168641,4
1-735168701,4
1-735168711,0
1-735168771,4
1-735168831,3
1-735170395,4
1-735170801,4
1-735171464,4
1-735171475,3
1-735171573,4
1-735173406,3
1-735176830,4
1-735177718,2
1-735177737,2
1-735177767,2
1-735177798,3
1-735177829,4
1-735180913,2
1-735180983,0
1-735181447,1
1-735181620,1
1-735181678,0
1-735181724,2
1-735181741,3
1-735181822,3
1-735182303,1
1-735184231,2
1-735188058,1
1-735189320,0
1-735189521,3
1-735194105,0
1-735194386,0
1-735203157,4
1-735224038,1
1-735224085,3
1-735226302,3
1-735231580,3
1-735231781,1
1-735237150,3
1-735262281,1
1-735262468,3
1-735262744,4
1-735262773,1
1-735266029,2
1-735267733,4
1-735315389,2
1-735315426,4
1-735318750,4
1-735318871,2
1-735877791,4
1-735877837,4
1-735881168,3
1-735881257,0
1-735881383,1
1-735882481,0
1-735894939,4
1-735894967,3
1-735895007,4
1-735895054,3
1-735896953,2
1-735897079,3
1-735897176,3
1-735897883,0
1-735909135,2
1-735916798,2
1-735917961,2
1-735918111,2
1-735918121,0
1-735918241,1
1-735918251,2
1-735918271,0
1-735918281,4
1-735918311,1
1-735918512,0
1-735918621,0
1-735918631,0
1-735918741,3
1-735918771,3
1-735918801,0
1-735918842,3
1-735918851,3
1-735930604,4
1-735930868,3
1-735931819,4
1-735931831,3
1-735996831,0
1-735996872,4
1-736285839,2
1-736285917,3
1-736286546,2
1-736289931,4
1-736290060,2
1-736298288,2
1-736304161,3
1-736308281,0
1-736308801,4
1-736319032,4
1-736319671,3
1-736319805,3
1-736320198,3
1-736320529,0
1-736346269,2
1-736346321,4
1-736346711,3
1-736346729,1
1-736346791,4
1-736349585,1
1-736349598,4
1-736351431,1
1-736353195,2
1-736369244,2
1-736369451,1
1-736369947,0
1-736370015,0
1-736374128,1
1-736374396,2
1-736374601,2
1-736374689,3
1-736379048,4
1-736379984,3
1-736380358,2
1-736381993,0
1-736382563,0
1-736384598,4
1-736384831,3
1-736384921,2
1-736391598,2
1-736391805,2
1-736393906,0
1-736395019,0
1-736396055,2
1-736396122,4
1-736399475,4
1-736401071,4
1-736403381,1
1-736403573,1
1-736403645,4
1-736403778,2
1-736412923,2
1-736413598,4
1-736413602,3
1-736433201,1
1-736433217,1
1-736433375,2
1-736433692,0
1-736440431,1
1-736440526,3
1-736440596,0
1-736444712,4
1-736445070,1
1-736445691,0
1-736447903,3
1-736453547,4
1-736460590,3
1-736464674,3
1-736465953,1
1-736466076,3
1-736468118,1
1-736468784,0
1-736474965,0
1-736475571,1
1-736478979,2
1-736478998,4
1-736484525,2
1-736488248,4
1-736488545,2
1-736488559,4
1-736491238,3
1-736496737,3
1-736499051,2
1-736499071,4
1-736499081,2
1-736499091,4
1-736499191,3
1-736499271,0
1-736499291,1
1-736499351,0
1-736499661,2
1-736499691,0
1-736500136,0
1-736500455,3
1-736500677,1
1-736502399,4
1-736502789,2
1-736503159,2
1-736503218,3
1-736503759,4
1-736504398,3
1-736504461,2
1-736506067,2
1-736506257,3
1-736506261,0
1-736507009,1
1-736507421,2
1-736507449,0
1-736507520,2
1-736517053,3
1-736517752,0
1-736519419,2
1-736525391,0
1-736525440,0
1-736528890,2
1-736534836,0
1-736536174,2
1-736536234,4
1-736536471,1
1-736536834,0
1-736541192,4
1-736541294,4
1-736541381,1
1-736541581,1
1-736544364,4
1-736544975,0
1-736547357,0
1-736547971,4
1-736548243,3
1-736549060,1
1-736549174,1
1-736549233,4
1-736552272,1
1-736558216,2
1-736558541,0
1-736560221,4
1-736560336,4
1-736560635,4
1-736561525,2
1-736561851,3
1-736561885,2
1-736562142,0
1-736567223,1
1-736567811,1
1-736568631,1
1-736570196,1
1-736577384,4
1-736584141,2
1-736584672,4
1-736587801,3
1-736590341,0
1-736593529,0
1-736593793,2
1-736593831,1
1-736593880,3
1-736594108,3
1-736595139,4
1-736595197,1
1-736595605,3
1-736598835,4
1-736598875,3
1-736598916,4
1-736599009,0
1-736602025,0
1-736602136,1
1-736602144,0
1-736602185,0
1-736602248,4
1-736602448,3
1-736606770,4
1-736609218,2
1-736610908,3
1-736611005,1
1-736611139,2
1-736611175,1
1-736611829,0
1-736611878,3
1-736615338,1
1-736615794,0
1-736621227,0
1-736621296,4
1-736622868,1
1-736628091,4
1-736628139,1
1-736628141,3
1-736628871,0
1-736629596,3
1-736633842,2
1-736633861,1
1-736633879,2
1-736635521,1
1-736640460,3
1-736640564,2
1-736640600,3
1-736641065,0
1-736641250,3
1-736643966,1
1-736645764,0
1-736646274,3
1-736646937,1
1-736649178,3
1-736649264,1
1-736649612,2
1-736651898,1
1-736658394,0
1-736658581,3
1-736658606,0
1-736658611,1
1-736665050,2
1-736665800,4
1-736667581,0
1-736667947,4
1-736668641,1
1-736669131,2
1-736669150,2
1-736673112,1
1-736673281,4
1-736673356,0
1-736673532,4
1-736673911,4
1-736674001,0
1-736674041,1
1-736674091,1
1-736674151,2
1-736674162,1
1-736674181,1
1-736674221,0
1-736674251,0
1-736674321,0
1-736674351,4
1-736674371,4
1-736674381,3
1-736674391,0
1-736674421,1
1-736674491,1
1-736674501,2
1-736674511,4
1-736674516,0
1-736674591,0
1-736674641,4
1-736674661,3
1-736674681,0
1-736674731,3
1-736674741,3
1-736674751,1
1-736674761,3
1-736674791,4
1-736674811,0
1-736674841,0
1-736674861,0
1-736676085,0
1-736676173,1
1-736676599,3
1-736681141,1
1-736681336,4
1-736681845,3
1-736684347,4
1-736685322,4
1-736685339,0
1-736685369,0
1-736685723,4
1-736687529,4
1-736688124,1
1-736688222,3
1-736688416,1
1-736688781,2
1-736688851,2
1-736690181,0
1-736690605,3
1-736693302,4
1-736696073,3
1-736696291,1
1-736696301,1
1-736699903,0
1-736700628,4
1-736700716,3
1-736700782,4
1-736700820,1
1-736700836,2
1-736700852,3
1-736700966,4
1-736701201,1
1-736701427,1
1-736701710,3
1-736701726,0
1-736701740,1
1-736704849,4
1-736704900,0
1-736705406,0
1-736707954,3
1-736707986,1
1-736708648,2
1-736708670,0
1-736708691,1
1-736708715,0
1-736708926,2
1-736709113,3
1-736709151,3
1-736709170,3
1-736709298,0
1-736709433,1
1-736717361,1
1-736717378,1
1-736717412,3
1-736717829,0
1-736718054,0
1-736718548,1
1-736719999,1
1-736720019,1
1-736720411,4
1-736720429,0
1-736720459,3
1-736720489,0
1-736720519,2
1-736720549,2
1-736720567,4
1-736720598,2
1-736720628,3
1-736720658,3
1-736720688,1
1-736720718,3
1-736722133,0
1-736722204,3
1-736722622,4
1-736725501,1
1-736725878,1
1-736726039,3
1-736726143,2
1-736726506,1
1-736726511,4
1-736726561,3
1-736726607,0
1-736726624,4
1-736726674,3
1-736726701,3
1-736726720,2
1-736726776,0
1-736726861,1
1-736726945,2
1-736727128,4
1-736727305,3
1-736727351,0
1-736727363,2
1-736727386,0
1-736727467,2
1-736727538,1
1-736727550,2
1-736727562,1
1-736727574,3
1-736727608,0
1-736727723,3
1-736727792,2
1-736769171,1
1-736771013,0
1-736771047,4
1-736771094,1
1-736771147,2
1-736771164,3
1-736771176,1
1-736771304,1
1-736771321,2
1-736771431,1
1-736771448,2
1-736771694,2
1-736772060,3
1-736772341,2
1-736772609,2
1-736772621,4
1-736772671,4
1-736772729,4
1-736772745,0
1-736773011,0
1-736773080,0
1-736773092,1
1-736773216,1
1-736773340,1
1-736773444,3
1-736773501,2
1-736773548,0
1-736773721,1
1-736773732,1
1-736773744,1
1-736773836,0
1-736773847,4
1-737307651,1
1-737307671,2
1-737308943,1
1-737309015,4
1-737309210,3
1-737309288,4
1-737309366,3
1-737309400,0
1-737309490,4
1-737309611,3
1-737309706,2
1-737309768,0
1-737309881,2
1-737309970,0
1-737310005,0
1-737310100,1
1-737310123,2
1-737310135,2
1-737310146,0
1-737310284,1
1-737310306,0
1-737310408,4
1-737310431,4
1-737310443,2
1-737310533,1
1-737310568,3
1-737310659,4
1-737310671,3
1-737310761,4
1-737310796,3
1-737312961,2
1-737313112,2
1-737313492,4
1-737313674,2
1-737313765,1
1-737314763,4
1-737320974,4
1-737321059,1
1-737321146,2
1-737321171,4
1-737321297,3
1-737322461,1
1-737322701,3
1-737322740,4
1-737324936,0
1-737325535,4
1-737325626,2
1-737325704,1
1-737325728,1
1-737325748,1
1-737325771,4
1-737325828,3
1-737325862,1
1-737327349,0
1-737328585,4
1-737328743,0
1-737328948,4
1-737329733,1
1-737329817,0
1-737329865,3
1-737332116,3
1-737332136,1
1-737332275,3
1-737332328,3
1-737332421,1
1-737332540,4
1-737333278,1
1-737333490,1
1-737333497,2
1-737333585,4
1-737333661,2
1-737333735,1
1-737333801,0
1-737333811,1
1-737333851,3
1-737333888,2
1-737334634,0
1-737336261,0
1-737336461,0
1-737336494,1
1-737336519,2
1-737336647,0
1-737336773,1
1-737336823,2
1-737337973,3
1-737338031,1
1-737338048,2
1-737338092,0
1-737338118,0
1-737338219,3
1-737338361,0
1-737338372,4
1-737338397,3
1-737338414,3
1-737338726,3
1-737340955,2
1-737343221,0
1-737343431,0
1-737343470,2
1-737344433,1
1-737344518,4
1-737344545,2
1-737344589,2
1-737345032,2
1-737345159,3
1-737345168,3
1-737345178,0
1-737345189,4
1-737345200,3
1-737345338,0
1-737345500,0
1-737345522,1
1-737345531,4
1-737345657,4
1-737346058,3
1-737346077,3
1-737346121,0
1-737346151,2
1-737346265,3
1-737346282,2
1-737346346,4
1-737346409,1
1-737346491,4
1-737346525,2
1-737346628,1
1-737346684,1
1-737346787,0
1-737346875,1
1-737349543,4
1-737349941,2
1-737349994,4
1-737350346,1
1-737350492,4
1-737350613,4
1-737350653,2
1-737351901,1
1-737352031,1
1-737352098,2
1-737352342,1
1-737352513,4
1-737352581,0
1-737352798,2
1-737352825,4
1-737353965,1
1-737354015,3
1-737354174,0
1-737354231,3
1-737354325,3
1-737354352,4
1-737354703,4
1-737354735,1
1-737355932,0
1-737356021,3
1-737356151,2
1-737356205,4
1-737356218,2
1-737356353,2
1-737356371,0
1-737356406,4
1-737356417,2
1-737356491,0
1-737356801,2
1-737356826,2
1-737356862,3
1-737356888,2
1-737356901,2
1-737356951,4
1-737357037,0
1-737357164,3
1-737357234,2
1-737357241,3
1-737357281,1
1-737357313,2
1-737357355,3
1-737357381,1
1-737357433,3
1-737357480,1
1-737357517,2
1-737357723,0
1-737357973,0
1-737358173,1
1-737358239,2
1-737358255,4
1-737358270,2
1-737358292,4
1-737358415,2
1-737358591,1
1-737358628,0
1-737358636,1
1-737358668,0
1-737358716,1
1-737358802,0
1-737358867,0
1-737362708,4
1-737362805,4
1-737362863,3
1-737362880,1
1-737362903,0
1-737362993,2
1-737363021,3
1-737363086,0
1-737363112,4
1-737363131,4
1-737363211,2
1-737363255,0
1-737363281,3
1-737363375,2
1-737363788,0
1-737366051,2
1-737366115,3
1-737366981,0
1-737367003,4
1-737367061,3
1-737367073,1
1-737367162,0
1-737367369,2
1-737367809,1
1-737369009,4
1-737369081,2
1-737369385,1
1-737369441,4
1-737369560,1
1-737369745,3
1-737369759,4
1-737369943,0
1-737370099,1
1-737370121,4
1-737370197,2
1-737370205,2
1-737370531,2
1-737370616,2
1-737370789,1
1-737370895,4
1-737370961,3
1-737370993,3
1-737371021,0
1-737371071,0
1-737371228,1
1-737371235,1
1-737371245,1
1-737372051,1
1-737372105,2
1-737372793,0
1-737373550,1
1-737373821,4
1-737374965,0
1-737375001,0
1-737375055,4
1-737375093,0
1-737375185,0
1-737375232,0
1-737375310,2
1-737375452,1
1-737375500,2
1-737378014,2
1-737378070,3
1-737378718,4
1-737378789,2
1-737378794,3
1-737378916,3
1-737378924,2
1-737378939,1
1-737378992,3
1-737379081,3
1-737379124,4
1-737379287,2
1-737379308,3
1-737379413,4
1-737379459,1
1-737379521,1
1-737379631,4
1-737379665,1
1-737379684,2
1-737379713,0
1-737379744,3
1-737379911,2
1-737379931,0
1-737379961,3
1-737379981,0
1-737380041,3
1-737380051,2
1-737380081,4
1-737380122,0
1-737380131,1
1-737380151,2
1-737380171,2
1-737380211,1
1-737380231,1
1-737380241,4
1-737380261,0
1-737380311,1
1-737380421,4
1-737380431,1
1-737380481,1
1-737380491,1
1-737380531,2
1-737380551,4
1-737380561,4
1-737380591,2
1-737380711,2
1-737380741,3
1-737380791,1
1-737380876,3
1-737380955,0
1-737380965,0
1-737380978,2
1-737381168,1
1-737381224,2
1-737381323,2
1-737381379,4
1-737381411,1
1-737383931,3
1-737383962,2
1-737384056,4
1-737384185,3
1-737384312,1
1-737384431,0
1-737384458,0
1-737384512,1
1-737384546,3
1-737384583,1
1-737385121,1
1-737385150,4
1-737385451,2
1-737385490,3
1-737385691,3
1-737385815,1
1-737390026,0
1-737390124,4
1-737390433,3
1-737390537,2
1-737390628,4
1-737390673,3
1-737390796,3
1-737390851,1
1-737391938,2
1-737392312,1
1-737392571,0
1-737392604,2
1-737392642,1
1-737392781,1
1-737392833,3
1-737392861,1
1-737392878,0
1-737393064,2
1-737393224,1
1-737393285,2
1-737393322,1
1-737393337,1
1-737393399,4
1-737393455,2
1-737393684,0
1-737393829,3
1-737393959,0
1-737394052,2
1-737394100,2
1-737394237,1
1-737394262,0
1-737394271,4
1-737394555,4
1-737394729,4
1-737397468,2
1-737397645,2
1-737397678,4
1-737397715,0
1-737397968,3
1-737398038,0
1-737398331,0
1-737400919,4
1-737400987,3
1-737401348,0
1-737401602,1
1-737405175,2
1-737405220,0
1-737405232,3
1-737405380,1
1-737405425,4
1-737405436,1
1-737405484,2
1-737405529,0
1-737406009,3
1-737406075,4
1-737406119,1
1-737406217,4
1-737406631,2
1-737406681,0
1-737406804,4
1-737406827,1
1-737406980,4
1-737407064,0
1-737407112,3
1-737407432,1
1-737410701,2
1-737410768,4
1-737410973,4
1-737411791,1
1-737411804,2
1-737411821,0
1-737411861,3
1-737413954,2
1-737413975,1
1-737414064,4
1-737414124,4
1-737414139,1
1-737414501,0
1-737414611,2
1-737414629,3
1-737420251,2
1-737421238,1
1-737421303,0
1-737421653,4
1-737421721,1
1-737421911,0
1-737422271,2
1-737422282,4
1-737422294,0
1-737422306,1
1-737422318,2
1-737422330,2
1-737422341,3
1-737422353,3
1-737422400,0
1-737422447,4
1-737422470,1
1-737422481,4
1-737422559,2
1-737422583,3
1-737422607,0
1-737422629,2
1-737422662,0
1-737422696,4
1-737422718,3
1-737422740,4
1-737422751,4
1-737422774,0
1-737422808,2
1-737422819,3
1-737422898,3
1-737425019,3
1-737425034,1
1-737425061,4
1-737425122,2
1-737425231,1
1-737425713,0
1-737425721,1
1-737425758,2
1-737460077,1
1-737460186,0
1-737460240,2
1-737460260,1
1-737460300,4
1-737460373,3
1-737460391,2
1-737460436,4
1-737460454,0
1-737460481,2
1-737460727,0
1-737460731,1
1-737460749,3
1-737460767,1
1-737460825,1
1-737461013,2
1-737461154,3
1-737461181,4
1-737461285,2
1-737461417,2
1-737461433,4
1-737461668,1
1-737461703,3
1-737461747,3
1-737461887,0
1-737461955,4
1-737462301,1
1-737462313,1
1-737462429,4
1-737462440,2
1-737462500,3
1-737462627,4
1-737462837,3
1-737463991,1
1-737464026,1
1-737464075,4
1-737464121,2
1-737464558,0
1-737464591,1
1-737464711,1
1-737464766,4
1-738144182,3
1-738144221,4
1-738144305,0
1-738144401,1
1-738144468,1
1-738144561,4
1-738144681,3
1-738144751,0
1-738145903,1
1-738145940,2
1-738145941,0
1-738145960,4
1-738146007,3
1-738146155,2
1-738146201,0
1-738146219,3
1-738146249,4
1-738146321,4
1-738146352,0
1-738146430,4
1-738146459,3
1-738146517,4
1-738146539,2
1-738146571,4
1-738146601,1
1-738146751,0
1-738146770,3
1-738146911,2
1-738146991,1
1-738147151,0
1-738147262,3
1-738147271,4
1-738147414,1
1-738148003,2
1-738148163,0
1-738148271,3
1-738148291,4
1-738148308,1
1-738148832,4
1-738149109,2
1-738149111,2
1-738149182,2
1-738149231,2
1-738149241,1
1-738149268,1
1-738149466,3
1-738149596,4
1-738149711,0
1-738149767,3
1-738149917,3
1-738149941,0
1-738150125,3
1-738150136,4
1-738150263,1
1-738150285,2
1-738150318,4
1-738150329,2
1-738150471,4
1-738150482,2
1-738150529,0
1-738150611,4
1-738150646,4
1-738150716,0
1-738150892,0
1-738151913,4
1-738151944,3
1-738152084,4
1-738153171,0
1-738153300,1
1-738153345,2
1-738153421,3
1-738153473,4
1-738153659,3
1-738153732,1
1-738153815,1
1-738154923,4
1-738154971,4
1-738154981,4
1-738155009,4
1-738155134,1
1-738155192,4
1-738155318,0
1-738155344,1
1-738155391,2
1-738155674,4
1-738155853,4
1-738155863,3
1-738156022,2
1-738156121,1
1-738156181,4
1-738156214,2
1-738156251,0
1-738156263,3
1-738156273,2
1-738156462,2
1-738156552,4
1-738156752,2
1-738156778,0
1-738156937,2
1-738156956,0
1-738157101,2
1-738157275,4
1-738157291,2
1-738157396,1
1-738157446,0
1-738157747,2
1-738157834,2
1-738157901,3
1-738157925,3
1-738157938,4
1-738157999,4
1-738158129,2
1-738161973,0
1-738162028,3
1-738162073,2
1-738162101,2
1-738162118,1
1-738162150,3
1-738162172,4
1-738162209,1
1-738162310,1
1-738162461,0
1-738162558,3
1-738162699,4
1-738162756,4
1-738162803,4
1-738162969,4
1-738163053,0
1-738163074,2
1-738163099,1
1-738163127,2
1-738163145,4
1-738163259,0
1-738163385,1
1-738163420,1
1-738163451,0
1-738163471,1
1-738163587,0
1-738163862,0
1-738163892,1
1-738165006,4
1-738165149,3
1-738165181,0
1-738165279,2
1-738165770,1
1-738165808,0
1-738165888,1
1-738166908,1
1-738166922,2
1-738167039,0
1-738167133,4
1-738167144,3
1-738167238,2
1-738167341,4
1-738167409,2
1-738167475,0
1-738167938,2
1-738167982,1
1-738168011,1
1-738168038,4
1-738168201,2
1-738168238,4
1-738168248,1
1-738168482,1
1-738168816,1
1-738168878,3
1-738177292,2
1-738177301,2
1-738177380,1
1-738177411,1
1-738177479,0
1-738177601,3
1-738177789,2
1-738177817,0
1-738182658,1
1-738183141,3
1-738183625,2
1-738183837,0
1-738187963,3
1-738188019,1
1-738188156,3
1-738188182,0
1-738188290,4
1-738188295,4
1-738188579,0
1-738188612,2
1-738188635,2
1-738188675,0
1-738188705,0
1-738188867,2
1-738188890,2
1-738188979,0
1-738189060,3
1-738189425,0
1-738189512,1
1-738189611,2
1-738189761,1
1-738189892,4
1-738189961,0
1-738190091,1
1-738190131,2
1-738190181,2
1-738190261,0
1-738190361,0
1-738190381,2
1-738190473,1
1-738190531,2
1-738190601,2
1-738190621,2
1-738190671,4
1-738190701,3
1-738190721,2
1-738193198,4
1-738194008,3
1-738194051,1
1-738194126,0
1-738194155,1
1-738194191,3
1-738194345,4
1-738194668,2
1-738194676,1
1-738194745,4
1-738196916,3
1-738196951,0
1-738197008,3
1-738197348,0
1-738197394,3
1-738197405,3
1-738197417,1
1-738197497,2
1-738197819,3
1-738197898,0
1-738199908,2
1-738199964,1
1-738200005,0
1-738200128,1
1-738200953,2
1-738200987,2
1-738201171,1
1-738201184,3
1-738201205,2
1-738201299,1
1-738201343,3
1-738201417,2
1-738201451,0
1-738201468,1
1-738201516,2
1-738201631,1
1-738201641,1
1-738201705,4
1-738201883,3
1-738201900,3
1-738203288,3
1-738203329,2
1-738203435,2
1-738203467,1
1-738203480,0
1-738203507,0
1-738203539,0
1-738203600,3
1-738206434,4
1-738212654,1
1-738212687,3
1-738212849,2
1-738218067,2
1-738218136,0
1-738218272,2
1-738218334,3
1-738218359,3
1-738218368,1
1-738218371,3
1-738218526,0
1-738218723,4
1-738218731,0
1-738218789,2
1-738220295,1
1-738220469,2
1-738220592,1
1-738220637,0
1-738220825,1
1-738220844,0
1-738221024,2
1-738221075,4
1-738221393,2
1-738221446,4
1-738222760,1
1-738226136,2
1-738226230,0
1-738226896,4
1-738227826,2
1-738229085,4
1-738229368,1
1-738229405,3
1-738229421,0
1-738229444,1
1-738229673,3
1-738229763,1
1-738229835,3
1-738229861,1
1-738230273,4
1-738230651,0
1-738230919,1
1-738231351,1
1-738231394,0
1-738232764,1
1-738233069,4
1-738233197,0
1-738233306,4
1-738233324,0
1-738233339,1
1-738233372,0
1-738233605,4
1-738233715,1
1-738233795,0
1-738233841,2
1-738233861,4
1-738235971,3
1-738236279,2
1-738236347,2
1-738236648,0
1-738238024,1
1-738238059,2
1-738238077,3
1-738238217,0
1-738238261,3
1-738238611,1
1-738238752,1
1-738240004,1
1-738240060,3
1-738240125,1
1-738240312,0
1-738240332,3
1-738240511,1
1-738240917,1
1-738240944,4
1-738241278,4
1-738241575,3
1-738241583,3
1-738241650,1
1-738241691,2
1-738241729,0
1-738241731,4
1-738241761,4
1-738241829,3
1-738241838,4
1-738241883,0
1-738241899,2
1-738242083,0
1-738242199,2
1-738242256,3
1-738242392,0
1-738242472,2
1-738242503,3
1-738242595,1
1-738242639,0
1-738243931,4
1-738244261,0
1-738244277,1
1-738244298,2
1-738244385,2
1-738244419,2
1-738244421,0
1-738244623,4
1-738244679,4
1-738244697,0
1-738244755,0
1-738244815,4
1-738244841,0
1-738246906,3
1-738247053,2
1-738247080,1
1-738247231,4
1-738247307,2
1-738247330,1
1-738247423,1
1-738247447,1
1-738247470,3
1-738247599,0
1-738247666,0
1-738247683,3
1-738259959,3
1-738259978,1
1-738260024,4
1-738260156,0
1-738260355,0
1-738260464,2
1-738260747,2
1-738263063,0
1-738263193,1
1-738263211,1
1-738263240,2
1-738263316,2
1-738263369,0
1-738263443,2
1-738263602,4
1-738263657,3
1-738263764,0
1-738269922,3
1-738270450,0
1-738270463,1
1-738270547,4
1-738270724,4
1-738270755,3
1-738270842,2
1-738270991,0
1-738271038,0
1-738271042,4
1-738271115,3
1-738271151,0
1-738271236,1
1-738271384,2
1-738271571,4
1-738273162,3
1-738273222,4
1-738273309,4
1-738273514,1
1-738273547,1
1-738273623,0
1-738273642,1
1-738273698,3
1-738274210,1
1-738274290,2
1-738274604,4
1-738274663,1
1-738274795,4
1-738275938,4
1-738276099,4
1-738276140,4
1-738276201,3
1-738276431,4
1-738276591,2
1-738276726,3
1-738276848,1
1-738276931,2
1-738277030,4
1-738277054,4
1-738277270,3
1-738277328,1
1-738277334,1
1-738277365,3
1-738277423,0
1-738277557,2
1-738279071,2
1-738279577,3
1-738279641,3
1-738279718,3
1-738279833,4
1-738280961,4
1-738280993,0
1-738281011,3
1-738281145,4
1-738281185,2
1-738281200,0
1-738281209,1
1-738281244,3
1-738281268,2
1-738281551,3
1-738281628,0
1-738281641,4
1-738281721,0
1-738281736,4
1-738281901,2
1-738282694,1
1-738282725,0
1-738286674,3
1-738286832,3
1-738288901,0
1-738288927,3
1-738288963,1
1-738288983,4
1-738289069,1
1-738289102,1
1-738289120,2
1-738289124,3
1-738289146,3
1-738290009,1
1-738290130,3
1-738290791,1
1-738291508,0
1-738291525,2
1-738291533,1
1-738291568,1
1-738294050,1
1-738297251,1
1-738297276,2
